-1.47E+00,6.00E-01,1
1.57E+00,-2.40E-01,1
-1.13E+00,-6.09E-01,1
-1.19E-02,-1.11E+00,1
1.66E+00,-1.43E-01,1
-1.16E-01,-1.30E+00,1
-4.87E-01,1.24E+00,1
1.00E+00,-8.96E-01,1
-1.58E-01,-1.07E+00,1
-1.17E+00,-1.39E+00,1
7.59E-01,-1.40E+00,1
-9.84E-01,1.51E+00,1
-3.76E-01,1.05E+00,1
1.41E+00,-2.81E-01,1
1.33E+00,2.92E-01,1
-1.37E+00,4.24E-01,1
-2.00E-01,-1.45E+00,1
-3.61E-01,1.31E+00,1
-6.75E-01,-1.10E+00,1
-8.42E-01,6.62E-01,1
-8.04E-01,9.23E-01,1
-8.73E-01,-1.42E+00,1
7.74E-01,-1.12E+00,1
-1.40E+00,8.03E-01,1
-1.44E+00,-9.23E-01,1
-1.14E-01,-1.17E+00,1
1.47E+00,-5.75E-01,1
-2.47E-02,1.11E+00,1
1.20E+00,1.24E-01,1
1.40E+00,-5.91E-01,1
-8.43E-01,1.60E+00,1
-4.85E-01,1.18E+00,1
1.48E+00,-1.03E+00,1
-9.68E-01,-1.21E+00,1
-1.27E+00,6.00E-01,1
-1.20E+00,-7.93E-01,1
-1.39E+00,-7.90E-01,1
-1.41E+00,-9.47E-01,1
1.82E+00,-8.19E-02,1
-1.05E+00,6.86E-01,1
-1.72E-01,1.34E+00,1
-1.34E+00,2.03E-01,1
-4.02E-01,-1.38E+00,1
6.41E-01,9.07E-01,1
1.80E+00,7.27E-02,1
2.09E-01,-1.30E+00,1
4.01E-01,-1.41E+00,1
-1.43E+00,-9.09E-01,1
7.54E-01,8.04E-01,1
-2.27E-01,-1.13E+00,1
-1.35E+00,-4.52E-01,1
-1.42E+00,-1.35E-01,1
-8.65E-01,-1.06E+00,1
8.75E-01,1.27E+00,1
1.71E-01,-1.17E+00,1
-1.06E+00,-6.67E-01,1
-1.63E+00,5.26E-01,1
9.84E-01,-7.45E-01,1
-1.42E+00,-2.27E-01,1
-2.72E-01,-1.01E+00,1
-1.22E+00,3.05E-01,1
1.66E-01,-1.49E+00,1
1.41E+00,-1.03E+00,1
-1.01E+00,-1.38E+00,1
1.51E+00,9.53E-01,1
1.18E+00,7.10E-01,1
-1.72E+00,2.88E-01,1
9.70E-01,1.21E+00,1
-1.35E+00,5.97E-01,1
-1.11E-01,-1.11E+00,1
-9.34E-01,1.19E+00,1
-5.64E-01,-1.67E+00,1
3.16E-01,1.39E+00,1
4.86E-02,-1.82E+00,1
-5.16E-01,1.62E+00,1
-2.20E-01,1.31E+00,1
-6.79E-01,8.20E-01,1
-1.67E+00,-5.33E-01,1
-8.97E-01,4.58E-01,1
7.57E-01,-6.85E-01,1
-9.65E-01,-6.23E-01,1
-8.32E-01,-8.31E-01,1
-6.86E-01,-1.10E+00,1
-3.16E-01,-1.05E+00,1
-7.64E-01,1.12E+00,1
7.90E-01,-1.35E+00,1
1.34E+00,-4.56E-01,1
-4.92E-01,1.19E+00,1
-1.26E+00,2.70E-01,1
1.09E+00,-1.24E-01,1
3.65E-01,1.38E+00,1
-1.29E+00,6.40E-01,1
-3.43E-01,-1.44E+00,1
-9.29E-01,-7.59E-01,1
-1.66E-01,1.59E+00,1
1.31E+00,-5.50E-01,1
-9.54E-02,-1.64E+00,1
-5.19E-01,1.71E+00,1
1.65E+00,3.37E-01,1
6.96E-01,1.23E+00,1
-5.55E-01,-1.13E+00,1
-1.24E+00,-3.15E-01,1
-1.63E+00,4.03E-01,1
2.59E-02,1.45E+00,1
-1.06E+00,2.20E-02,1
-1.61E+00,1.65E-01,1
-1.78E+00,4.10E-02,1
5.28E-01,8.80E-01,1
-9.66E-01,-1.28E+00,1
1.05E+00,8.30E-01,1
-1.67E+00,4.51E-01,1
-8.24E-01,1.34E+00,1
1.18E+00,-1.06E+00,1
1.43E+00,-1.10E+00,1
9.76E-01,-5.92E-01,1
8.83E-01,8.62E-01,1
-1.08E+00,-4.82E-01,1
1.23E+00,-2.71E-02,1
7.19E-01,1.64E+00,1
8.73E-01,-8.40E-01,1
4.12E-01,-9.20E-01,1
-1.70E+00,3.09E-01,1
-3.48E-01,-1.07E+00,1
9.68E-02,-1.40E+00,1
-5.65E-01,1.37E+00,1
-1.51E+00,5.13E-01,1
8.57E-01,1.14E+00,1
1.65E+00,-1.17E-01,1
-2.99E-01,1.15E+00,1
-5.88E-01,1.22E+00,1
2.18E-01,1.51E+00,1
4.76E-01,1.02E+00,1
1.12E+00,3.41E-01,1
1.36E+00,6.07E-01,1
-8.42E-01,1.01E+00,1
-1.41E+00,-3.84E-02,1
5.96E-02,1.47E+00,1
-1.79E+00,9.15E-02,1
-9.84E-01,1.49E+00,1
9.71E-01,-1.24E+00,1
-1.23E+00,1.14E+00,1
-1.35E+00,1.00E+00,1
-8.21E-01,-1.54E+00,1
1.13E+00,6.31E-01,1
-4.35E-01,-1.24E+00,1
-4.61E-01,-9.84E-01,1
1.62E+00,-4.80E-01,1
-1.04E+00,-1.21E+00,1
1.43E+00,1.02E+00,1
7.13E-01,1.12E+00,1
-6.80E-01,-1.59E+00,1
-9.00E-01,6.64E-01,1
4.10E-02,-1.43E+00,1
1.65E+00,-6.38E-01,1
1.68E-01,-1.01E+00,1
8.60E-02,-1.08E+00,1
-1.10E-01,-1.44E+00,1
-1.53E+00,-6.43E-02,1
1.42E+00,1.75E-01,1
-6.26E-01,8.72E-01,1
1.00E+00,-1.42E+00,1
2.03E-01,-1.48E+00,1
-1.14E+00,-7.60E-02,1
-1.40E+00,-7.40E-01,1
1.54E+00,-4.77E-01,1
-1.67E+00,-5.24E-01,1
-2.20E-01,-1.36E+00,1
-4.60E-01,1.67E+00,1
-8.80E-01,-1.37E+00,1
9.71E-01,-1.23E+00,1
-9.08E-01,1.53E+00,1
1.25E+00,8.76E-01,1
1.33E+00,4.56E-01,1
1.31E+00,-7.94E-01,1
-1.01E+00,8.63E-01,1
-3.17E-01,-1.17E+00,1
-1.32E+00,4.49E-01,1
-9.61E-02,-1.17E+00,1
-6.70E-01,-1.07E+00,1
8.88E-01,7.68E-01,1
-1.02E+00,3.53E-01,1
-1.50E+00,5.42E-01,1
1.20E+00,2.39E-01,1
4.30E-01,1.33E+00,1
1.17E+00,3.87E-01,1
1.22E+00,8.36E-01,1
6.36E-01,-1.28E+00,1
-8.60E-01,-1.21E+00,1
1.33E+00,-9.00E-01,1
-3.92E-01,-1.40E+00,1
1.12E+00,-1.03E+00,1
-7.67E-01,-1.44E+00,1
1.69E+00,4.07E-01,1
-1.50E+00,5.92E-01,1
-8.06E-01,1.36E+00,1
-5.55E-01,-1.37E+00,1
1.15E+00,3.65E-01,1
-3.54E-01,-1.38E+00,1
-6.06E-01,-1.71E+00,1
-1.18E+00,4.86E-01,1
-1.51E+00,6.06E-03,1
8.44E-01,1.49E+00,1
1.14E+00,4.01E-01,1
-8.04E-01,6.78E-01,1
-6.43E-02,-1.35E+00,1
1.26E+00,-2.68E-01,1
-3.12E-01,-1.23E+00,1
1.73E-01,1.12E+00,1
-5.42E-01,-1.11E+00,1
3.89E-01,1.73E+00,1
1.54E+00,-2.76E-02,1
1.12E+00,4.81E-01,1
1.35E+00,1.88E-01,1
9.37E-01,-1.23E+00,1
-1.49E+00,-1.38E-01,1
-1.01E+00,-1.42E+00,1
8.51E-01,-9.80E-01,1
-4.09E-01,-1.00E+00,1
5.29E-01,1.04E+00,1
-1.17E+00,-9.35E-01,1
7.11E-01,1.55E+00,1
3.90E-01,1.24E+00,1
-1.43E+00,8.40E-01,1
-9.38E-01,1.20E+00,1
1.26E+00,8.29E-01,1
-9.47E-01,-1.34E+00,1
-9.70E-01,1.05E+00,1
6.90E-01,8.39E-01,1
-7.89E-01,-1.35E+00,1
3.73E-02,-1.44E+00,1
3.46E-01,-1.18E+00,1
1.46E-01,1.12E+00,1
-7.37E-01,-1.50E+00,1
8.86E-01,-1.35E+00,1
1.09E+00,8.41E-01,1
2.66E-01,-1.02E+00,1
-1.12E+00,5.28E-01,1
1.02E+00,-8.07E-01,1
9.15E-01,7.92E-01,1
1.05E+00,9.18E-01,1
-1.29E+00,-1.24E+00,1
-8.46E-01,1.62E+00,1
1.03E+00,6.53E-01,1
-4.41E-01,9.40E-01,1
1.03E+00,4.30E-01,1
1.51E+00,4.83E-02,1
-1.03E+00,-9.36E-01,1
5.96E-01,1.08E+00,1
1.04E+00,-6.75E-01,1
-1.39E+00,3.16E-01,1
4.66E-02,1.83E+00,1
8.16E-02,1.82E+00,1
-1.08E+00,-7.82E-01,1
-9.89E-01,-6.05E-01,1
-6.69E-01,-1.10E+00,1
-4.83E-01,1.60E+00,1
-8.56E-01,-1.52E+00,1
1.26E+00,-5.20E-01,1
-6.79E-01,-1.59E+00,1
-5.50E-01,9.38E-01,1
6.37E-01,1.08E+00,1
-1.60E+00,-1.23E-01,1
1.26E+00,3.46E-01,1
3.08E-02,-1.68E+00,1
-4.38E-01,-1.27E+00,1
3.74E-01,-1.10E+00,1
-1.55E+00,-6.88E-01,1
-3.57E-02,-1.51E+00,1
-2.15E-01,1.02E+00,1
-1.34E+00,5.21E-01,1
-1.59E+00,8.20E-01,1
1.54E+00,3.93E-01,1
6.14E-01,-1.43E+00,1
1.36E+00,-3.71E-01,1
1.56E+00,-8.63E-03,1
-1.95E-01,1.39E+00,1
9.36E-01,-6.37E-01,1
-7.13E-01,-1.16E+00,1
-1.18E-02,-1.44E+00,1
5.60E-01,-9.41E-01,1
9.25E-02,-1.62E+00,1
-5.32E-01,-8.52E-01,1
4.98E-01,-1.32E+00,1
3.26E-01,-1.07E+00,1
-1.59E+00,3.17E-01,1
-6.20E-01,-8.04E-01,1
-8.20E-01,-1.31E+00,1
-4.34E-01,1.02E+00,1
9.22E-01,-9.64E-01,1
1.08E+00,-6.43E-01,1
-5.81E-01,-1.21E+00,1
-9.74E-01,6.01E-01,1
-8.95E-01,-1.24E+00,1
-8.26E-01,-1.38E+00,1
-1.56E+00,8.78E-01,1
-1.37E+00,3.88E-01,1
-2.81E-01,1.09E+00,1
9.05E-01,-9.00E-01,1
-1.14E+00,6.14E-01,1
2.28E-01,-1.81E+00,1
-1.71E-01,-9.87E-01,1
9.44E-01,1.04E+00,1
-3.14E-01,1.66E+00,1
-1.64E-01,1.08E+00,1
-9.23E-01,1.25E+00,1
4.11E-02,1.11E+00,1
-3.85E-01,1.06E+00,1
-5.10E-02,1.05E+00,1
1.48E+00,-9.18E-01,1
-1.01E+00,1.03E+00,1
-6.39E-01,-1.32E+00,1
-1.35E+00,-3.41E-01,1
7.81E-01,-1.20E+00,1
-1.17E+00,-1.14E+00,1
1.08E+00,1.09E+00,1
1.30E+00,5.51E-01,1
-4.57E-01,-9.06E-01,1
-1.68E+00,1.49E-02,1
-4.18E-01,1.13E+00,1
-8.84E-01,-5.70E-01,1
1.38E+00,-1.17E+00,1
-9.76E-01,1.39E+00,1
1.06E+00,-9.54E-02,1
-6.15E-01,-1.03E+00,1
-1.05E+00,-7.85E-01,1
-1.78E+00,2.28E-01,1
-1.54E+00,-7.95E-01,1
1.30E+00,6.09E-02,1
8.78E-01,-1.14E+00,1
4.45E-01,-1.38E+00,1
3.84E-01,1.15E+00,1
-8.27E-01,5.86E-01,1
5.27E-01,1.15E+00,1
1.37E+00,1.19E+00,1
-5.69E-01,1.34E+00,1
1.47E+00,-5.66E-01,1
1.13E+00,8.27E-01,1
8.57E-02,-1.28E+00,1
1.12E+00,-9.92E-01,1
-6.43E-01,1.26E+00,1
-1.34E+00,7.13E-01,1
-9.47E-01,-1.01E+00,1
-9.79E-01,5.28E-01,1
1.62E+00,2.86E-01,1
-5.52E-01,1.25E+00,1
-1.23E+00,-3.83E-01,1
8.49E-01,-8.32E-01,1
-4.06E-01,9.35E-01,1
1.92E-01,1.41E+00,1
-9.21E-01,1.38E+00,1
-6.65E-01,9.31E-01,1
1.53E+00,8.68E-01,1
8.86E-01,-1.28E+00,1
5.25E-01,1.57E+00,1
-5.46E-01,1.52E+00,1
6.16E-01,1.00E+00,1
1.61E+00,-7.50E-01,1
-7.30E-01,-8.46E-01,1
1.52E-01,1.25E+00,1
-2.78E-01,-1.29E+00,1
-1.41E+00,1.40E-01,1
-1.02E+00,1.22E+00,1
-8.44E-01,-1.43E+00,1
-3.17E-01,-1.06E+00,1
2.27E-01,1.10E+00,1
-1.40E+00,1.05E+00,1
6.29E-01,1.59E+00,1
-8.07E-01,-9.02E-01,1
1.13E-01,-1.46E+00,1
4.54E-01,-8.96E-01,1
1.43E-01,1.55E+00,1
-3.16E-01,1.27E+00,1
-7.55E-01,1.54E+00,1
1.65E+00,3.01E-01,1
4.92E-01,1.07E+00,1
1.25E+00,6.58E-01,1
-2.12E-01,-1.71E+00,1
-1.11E+00,7.19E-01,1
-9.04E-01,-1.50E+00,1
5.74E-01,-1.33E+00,1
1.64E+00,2.47E-01,1
-1.02E+00,-7.16E-01,1
4.36E-01,-1.14E+00,1
4.34E-01,1.01E+00,1
9.71E-01,-3.64E-01,1
-1.18E+00,-7.74E-01,1
-1.31E+00,-7.16E-02,1
-1.23E+00,-1.22E+00,1
-7.66E-01,7.65E-01,1
1.31E+00,-5.80E-01,1
1.23E+00,-4.57E-01,1
-6.72E-01,-8.43E-01,1
-1.66E+00,-1.26E-01,1
-9.02E-01,8.47E-01,1
-1.48E+00,1.83E-01,1
-5.30E-01,1.63E+00,1
-8.53E-01,-3.41E+00,2
1.94E+00,-2.24E+00,2
-2.41E+00,-1.42E+00,2
1.03E+00,2.86E+00,2
-2.49E+00,7.61E-01,2
2.69E+00,5.78E-01,2
-2.21E+00,-1.13E+00,2
2.65E+00,1.29E+00,2
2.94E+00,-9.23E-01,2
-2.88E+00,1.47E+00,2
2.52E+00,1.14E-01,2
-2.37E+00,-3.84E-01,2
-3.12E+00,-1.36E+00,2
2.50E+00,-1.34E+00,2
-7.78E-02,2.84E+00,2
-1.38E+00,3.08E+00,2
1.50E+00,2.41E+00,2
-2.55E+00,2.59E+00,2
-9.93E-01,-2.71E+00,2
-2.54E+00,-2.70E-01,2
-3.39E+00,-4.58E-01,2
2.85E+00,2.16E+00,2
1.64E+00,-3.04E+00,2
7.52E-01,2.84E+00,2
2.11E+00,2.27E+00,2
2.69E+00,-6.77E-01,2
-2.29E+00,1.21E+00,2
7.64E-01,2.44E+00,2
2.37E+00,1.53E+00,2
-1.20E+00,-2.82E+00,2
2.82E-01,-2.44E+00,2
3.00E+00,3.77E-01,2
-2.25E+00,-1.58E+00,2
-1.85E+00,-2.28E+00,2
2.86E+00,-1.44E+00,2
-1.84E+00,-2.39E+00,2
-8.88E-02,-3.28E+00,2
2.84E+00,-8.69E-01,2
-1.38E-01,-2.29E+00,2
-2.42E+00,1.47E+00,2
1.80E+00,1.87E+00,2
2.47E+00,-2.52E+00,2
3.98E-01,-2.56E+00,2
9.25E-01,2.58E+00,2
1.78E+00,2.22E+00,2
-2.74E+00,-7.21E-01,2
3.52E+00,8.15E-01,2
4.71E-01,-2.92E+00,2
-8.28E-01,-2.24E+00,2
1.43E-01,2.45E+00,2
-2.41E+00,-2.21E+00,2
-2.76E+00,-3.56E-01,2
2.44E+00,1.18E+00,2
2.07E+00,-2.10E+00,2
-2.69E+00,1.05E+00,2
-1.16E+00,-3.24E+00,2
-1.80E+00,2.37E+00,2
-7.76E-01,-3.13E+00,2
2.49E+00,2.10E-01,2
5.50E-02,-2.73E+00,2
3.90E-01,-2.89E+00,2
-1.92E+00,-2.75E+00,2
1.55E+00,2.07E+00,2
2.36E+00,1.45E+00,2
-3.69E-01,2.64E+00,2
-1.35E+00,2.34E+00,2
6.38E-01,2.63E+00,2
2.05E+00,-1.88E+00,2
-1.67E+00,2.57E+00,2
-2.73E+00,4.21E-01,2
1.05E+00,2.72E+00,2
2.97E+00,8.38E-01,2
-2.22E+00,-1.26E+00,2
1.07E+00,-2.46E+00,2
-2.10E+00,-2.24E+00,2
-2.99E+00,-7.69E-01,2
9.83E-01,-3.13E+00,2
2.52E+00,-1.08E+00,2
1.23E+00,-2.21E+00,2
-1.78E-01,-3.14E+00,2
-2.78E+00,1.88E+00,2
-2.76E+00,1.01E-01,2
3.07E+00,7.29E-02,2
1.35E+00,2.02E+00,2
1.18E+00,2.16E+00,2
-1.39E+00,2.57E+00,2
2.91E+00,2.17E-01,2
-2.46E-02,-3.04E+00,2
7.77E-02,2.90E+00,2
-2.81E+00,9.74E-01,2
-7.02E-01,-2.53E+00,2
2.89E+00,-4.16E-01,2
-1.74E+00,-2.85E+00,2
-9.54E-01,3.41E+00,2
2.37E+00,1.81E+00,2
2.29E+00,-1.39E+00,2
2.72E+00,-9.65E-01,2
2.33E+00,2.34E+00,2
2.02E+00,-2.42E+00,2
-2.99E+00,8.56E-01,2
2.22E+00,-1.91E+00,2
7.37E-01,-2.68E+00,2
-2.71E+00,-1.75E+00,2
-1.40E+00,-3.10E+00,2
3.13E+00,1.16E+00,2
1.88E+00,1.82E+00,2
2.93E+00,1.63E-01,2
1.56E+00,1.96E+00,2
-2.19E+00,-1.98E+00,2
5.39E-02,2.61E+00,2
1.97E+00,-1.53E+00,2
1.83E+00,-2.42E+00,2
2.05E-01,3.14E+00,2
8.83E-01,3.21E+00,2
-2.02E+00,2.49E+00,2
3.13E+00,3.34E-01,2
3.00E+00,2.06E-01,2
3.97E-01,-2.53E+00,2
1.56E+00,-1.94E+00,2
-2.53E+00,-1.10E+00,2
3.37E+00,-1.15E+00,2
-2.66E+00,1.84E+00,2
-1.15E+00,2.07E+00,2
-2.98E+00,1.05E+00,2
-1.93E+00,-2.14E+00,2
2.53E+00,-8.13E-01,2
-2.25E+00,2.11E-01,2
2.69E+00,7.45E-01,2
-1.72E+00,2.58E+00,2
8.77E-01,2.52E+00,2
-1.62E+00,-1.81E+00,2
-2.77E+00,-1.20E+00,2
-8.21E-01,2.89E+00,2
-2.15E+00,-1.37E+00,2
-2.46E+00,2.37E+00,2
-1.37E+00,-2.25E+00,2
2.73E+00,1.85E+00,2
-2.96E+00,7.06E-01,2
-3.02E+00,-5.34E-01,2
-2.62E+00,1.82E+00,2
2.79E+00,1.07E-01,2
1.15E-01,3.57E+00,2
2.38E+00,-8.94E-01,2
3.13E+00,7.25E-01,2
-1.03E-01,-2.46E+00,2
2.15E+00,-9.89E-01,2
-5.41E-01,3.42E+00,2
-6.34E-01,2.90E+00,2
-2.23E+00,7.91E-01,2
8.03E-01,-2.69E+00,2
-2.55E+00,-2.21E+00,2
5.60E-01,3.18E+00,2
-2.45E+00,1.64E+00,2
-1.38E+00,2.24E+00,2
2.70E+00,-5.38E-01,2
3.11E+00,1.10E+00,2
2.50E+00,2.21E+00,2
-2.64E+00,1.41E+00,2
2.47E+00,4.72E-01,2
7.65E-01,2.91E+00,2
-1.01E-01,3.13E+00,2
2.75E+00,-2.02E+00,2
2.84E+00,1.30E+00,2
-3.30E+00,1.87E-01,2
-1.89E+00,2.27E+00,2
-4.91E-01,3.08E+00,2
-1.64E+00,2.62E+00,2
8.98E-01,2.71E+00,2
-2.44E+00,1.19E+00,2
-2.72E+00,-7.46E-02,2
8.77E-01,-3.29E+00,2
7.06E-01,3.19E+00,2
-2.34E+00,-2.42E+00,2
-2.58E+00,-1.74E+00,2
-8.60E-01,-2.20E+00,2
-1.82E+00,1.55E+00,2
1.60E+00,-2.06E+00,2
-2.33E+00,1.11E+00,2
-1.63E+00,-2.46E+00,2
-7.95E-01,-2.42E+00,2
3.32E+00,2.15E-01,2
1.92E+00,2.49E+00,2
-3.12E+00,-2.00E-01,2
-6.61E-01,-2.60E+00,2
-3.78E-01,2.79E+00,2
-3.10E+00,4.17E-01,2
2.28E+00,-2.28E+00,2
2.98E+00,6.85E-01,2
-2.48E+00,-2.88E-01,2
2.30E+00,-1.64E+00,2
2.76E+00,1.75E+00,2
1.53E+00,1.99E+00,2
7.52E-01,-3.20E+00,2
2.69E+00,-6.93E-01,2
9.88E-01,-2.38E+00,2
5.10E-01,3.38E+00,2
-2.39E+00,1.09E+00,2
2.76E+00,-2.01E+00,2
-1.94E+00,1.61E+00,2
-1.44E+00,2.32E+00,2
-1.18E+00,2.56E+00,2
1.36E+00,2.76E+00,2
-2.17E+00,-5.53E-01,2
-4.62E-01,3.15E+00,2
2.25E+00,2.43E+00,2
1.46E-01,-3.54E+00,2
2.95E+00,-1.19E+00,2
3.00E+00,9.79E-01,2
-9.01E-01,-2.54E+00,2
2.66E+00,1.81E+00,2
1.51E+00,-2.20E+00,2
2.80E+00,9.30E-01,2
-2.24E+00,-1.39E+00,2
-3.55E+00,-1.24E-01,2
2.39E+00,1.07E+00,2
-1.47E+00,2.64E+00,2
1.06E+00,-2.05E+00,2
2.39E+00,-1.40E+00,2
-2.85E+00,1.75E+00,2
-1.37E-01,-3.27E+00,2
-2.50E+00,-7.91E-01,2
1.54E+00,2.37E+00,2
-2.78E+00,-1.62E+00,2
2.54E+00,4.19E-02,2
-2.76E+00,-7.65E-02,2
-2.92E+00,-2.00E+00,2
3.74E-01,-2.41E+00,2
2.86E+00,-1.06E+00,2
2.82E+00,7.15E-01,2
1.09E+00,-3.16E+00,2
1.80E+00,2.74E+00,2
-2.00E+00,1.92E+00,2
7.21E-01,-3.01E+00,2
-2.06E+00,-2.43E+00,2
-9.65E-01,2.60E+00,2
1.44E+00,2.00E+00,2
-2.84E-02,2.69E+00,2
2.48E+00,-8.26E-01,2
1.05E-01,3.21E+00,2
-2.29E+00,-2.06E+00,2
-2.81E+00,-1.36E+00,2
1.45E+00,-2.16E+00,2
-3.07E+00,-5.12E-01,2
-2.03E+00,1.34E+00,2
-2.97E+00,3.15E-01,2
-2.64E+00,2.00E-01,2
2.22E-01,-2.80E+00,2
1.00E+00,-2.58E+00,2
-2.83E+00,1.26E+00,2
-1.88E+00,-1.68E+00,2
1.32E+00,-3.01E+00,2
-4.15E-01,2.97E+00,2
-2.25E+00,5.39E-01,2
-2.83E+00,-8.11E-02,2
-2.58E+00,-9.28E-01,2
-1.92E+00,-2.00E+00,2
-2.00E+00,1.98E+00,2
7.66E-01,-3.00E+00,2
-2.35E+00,2.74E+00,2
-4.56E-02,-2.90E+00,2
-1.64E+00,-2.91E+00,2
-4.57E-01,2.40E+00,2
-2.75E+00,-1.76E+00,2
1.00E+00,-2.70E+00,2
2.32E+00,9.66E-01,2
5.96E-01,2.81E+00,2
-2.28E+00,-1.89E+00,2
2.25E+00,-2.75E+00,2
2.37E+00,-2.25E+00,2
1.25E+00,2.39E+00,2
-3.18E+00,8.93E-02,2
1.38E+00,-2.55E+00,2
-1.90E+00,-2.89E+00,2
1.74E+00,2.72E+00,2
5.83E-01,2.59E+00,2
-2.61E+00,1.34E+00,2
-2.57E+00,1.66E+00,2
2.10E+00,-1.72E+00,2
-3.05E+00,1.83E-01,2
1.09E+00,-2.49E+00,2
-1.64E+00,-1.83E+00,2
3.08E+00,-1.41E+00,2
-2.97E+00,-5.30E-01,2
3.07E+00,-6.64E-01,2
-2.67E+00,6.52E-01,2
3.19E+00,1.34E-01,2
-2.17E+00,-2.31E+00,2
-2.13E+00,-1.51E+00,2
1.57E+00,-2.70E+00,2
-9.77E-01,-2.43E+00,2
-7.05E-01,-2.53E+00,2
2.43E+00,1.92E+00,2
2.38E+00,1.47E+00,2
2.00E+00,1.96E+00,2
1.67E+00,2.41E+00,2
1.35E+00,2.59E+00,2
-1.18E+00,-2.24E+00,2
-5.98E-01,-3.18E+00,2
-8.30E-01,-3.09E+00,2
-2.70E+00,-9.53E-01,2
2.40E+00,1.32E+00,2
-2.36E+00,1.67E+00,2
2.81E+00,-7.97E-01,2
1.98E+00,-2.69E+00,2
-2.41E+00,-9.21E-01,2
-2.73E+00,-8.47E-01,2
1.99E+00,-2.11E+00,2
-2.67E+00,4.43E-01,2
-2.43E-01,-3.52E+00,2
8.96E-01,2.60E+00,2
6.20E-01,-3.10E+00,2
4.96E-01,-3.00E+00,2
2.59E+00,-2.22E+00,2
-2.26E+00,2.50E+00,2
-1.51E+00,2.25E+00,2
9.10E-01,2.34E+00,2
-2.82E+00,4.78E-01,2
2.48E+00,9.88E-01,2
-2.14E+00,-2.06E+00,2
3.52E-02,2.86E+00,2
-1.91E-01,-2.49E+00,2
